Distance;RSSI
50;-29
100;-34
150;-49
200;-49
250;-46
300;-56
350;-59
400;-54
450;-64
500;-59
550;-64
600;-62
650;-60
700;-55
750;-69
800;-67
850;-67
900;-71
950;-65
1000;-67
1050;-67
1100;-67
1150;-69
1200;-70
1250;-70
1300;-71
1350;-70
1400;-69
1450;-69
1500;-71
1550;-70
1600;-73
1650;-72
1700;-73
1750;-70
1800;-70
1850;-74
1900;-73
1950;-74
2000;-74
2050;-74
2100;-75
2150;-75
2200;-77
2250;-78
2300;-77
2350;-77
2400;-73
2450;-76
2500;-76
2550;-78
2600;-75
2650;-76
2700;-74
2750;-74
2800;-78
2850;-76
2900;-78
2950;-77
3000;-73
3050;-78
3100;-72
3150;-73
3200;-76
3250;-77
3300;-77
3350;-80
3400;-75
3450;-77
3500;-79
3550;-76
3600;-78
3650;-79
3700;-79
3750;-78
3800;-77
3850;-78
3900;-82
3950;-80
4000;-80
4050;-76
4100;-79
4150;-79
4200;-78
4250;-80
4300;-84
4350;-79
4400;-79
4450;-77
4500;-78
4550;-78
4600;-81
4650;-79
